first_name,last_name,id,market_value,market_value_trend,team_id,date
Manuel,Neuer,237,24700757.0,2,2,2022-07-25 15:08:53.359394
Eric Maxim,Choupo-Moting,336,4015166.0,2,2,2022-07-25 15:08:53.359394
Sven,Ulreich,383,850266.0,2,2,2022-07-25 15:08:53.359394
Thomas,Müller,450,51715584.0,1,2,2022-07-25 15:08:53.359394
Leon,Goretzka,660,37684923.0,2,2,2022-07-25 15:08:53.359394
Leroy,Sané,1222,41965602.0,2,2,2022-07-25 15:08:53.359394
Joshua,Kimmich,1685,53581721.0,1,2,2022-07-25 15:08:53.359394
Kingsley,Coman,1774,29230599.0,1,2,2022-07-25 15:08:53.359394
Marcel,Sabitzer,1856,7137072.0,1,2,2022-07-25 15:08:53.359394
Serge,Gnabry,1961,45468432.0,1,2,2022-07-25 15:08:53.359394
Dayotchanculle,Upamecano,1991,33714030.0,2,2,2022-07-25 15:08:53.359394
Benjamin,Pavard,2054,27501290.0,2,2,2022-07-25 15:08:53.359394
Adrian,Fein,2099,1290017.0,2,2,2022-07-25 15:08:53.359394
Chris,Richards,2298,3803413.0,2,2,2022-07-25 15:08:53.359394
Josip,Stanisic,2300,3686256.0,2,2,2022-07-25 15:08:53.359394
Joshua,Zirkzee,2306,6491478.0,1,2,2022-07-25 15:08:53.359394
Alphonso,Davies,2366,37642749.0,1,2,2022-07-25 15:08:53.359394
Lucas,Hernández,2647,29941795.0,1,2,2022-07-25 15:08:53.359394
Jamal,Musiala,2804,31581286.0,2,2,2022-07-25 15:08:53.359394
Tanguy,Nianzou,2823,4498293.0,2,2,2022-07-25 15:08:53.359394
Bouna,Sarr,2915,500000.0,0,2,2022-07-25 15:08:53.359394
Lucas,Copado,3062,500000.0,0,2,2022-07-25 15:08:53.359394
Gabriel,Vidović,3081,627302.0,1,2,2022-07-25 15:08:53.359394
Paul,Wanner,3175,500000.0,2,2,2022-07-25 15:08:53.359394
Noussair,Mazraoui,3477,22923760.0,1,2,2022-07-25 15:08:53.359394
Sadio,Mané,3478,53240118.0,1,2,2022-07-25 15:08:53.359394
Ryan,Gravenberch,3501,21649687.0,1,2,2022-07-25 15:08:53.359394
Johannes,Schenk,4284,500000.0,0,2,2022-07-25 15:08:53.359394
Matthijs,de Ligt,4286,43199340.0,1,2,2022-07-25 15:08:53.359394
Emre,Can,54,13502464.0,2,3,2022-07-25 15:08:53.359394
Niklas,Süle,163,32690506.0,1,3,2022-07-25 15:08:53.359394
Mats,Hummels,304,15088836.0,1,3,2022-07-25 15:08:53.359394
Marco,Reus,399,44302412.0,1,3,2022-07-25 15:08:53.359394
Nico,Schulz,726,2513897.0,2,3,2022-07-25 15:08:53.359394
Mahmoud,Dahoud,736,16264127.0,1,3,2022-07-25 15:08:53.359394
Julian,Brandt,1192,26929381.0,2,3,2022-07-25 15:08:53.359394
Thorgan,Hazard,1583,10951108.0,1,3,2022-07-25 15:08:53.359394
